EmployeeNumber,Department,JobRole,MonthlyIncome,YearsAtCompany,OverTime,JobSatisfaction,Risk_Score,Risk_Percentage,Risk_Level,Retention_Priority
478,Sales,Sales Representative,2174,3,Yes,2,0.9907549721898699,99.08,High,Priority
1494,Research & Development,Laboratory Technician,3172,0,Yes,1,0.9903555706436752,99.04,High,Normal
622,Research & Development,Laboratory Technician,2340,1,Yes,4,0.9885921911529504,98.86,High,Normal
1273,Sales,Sales Representative,1118,1,Yes,4,0.9858397217761781,98.58,High,Normal
1487,Sales,Sales Executive,5765,5,No,2,0.9826408142351059,98.26,High,Priority
614,Sales,Sales Representative,1878,0,Yes,2,0.9795460318399014,97.95,High,Normal
1968,Sales,Sales Executive,10448,2,Yes,1,0.9712308804561078,97.12,High,Priority
19,Research & Development,Laboratory Technician,2028,4,Yes,3,0.9704023432879457,97.04,High,Priority
911,Research & Development,Laboratory Technician,2795,1,Yes,4,0.9699518569757386,97.0,High,Normal
1108,Research & Development,Research Scientist,2313,2,Yes,2,0.9698055723248363,96.98,High,Normal
1504,Research & Development,Laboratory Technician,2561,0,No,1,0.9677769736736219,96.78,High,Normal
1758,Sales,Sales Executive,8564,0,Yes,1,0.9676432237468698,96.76,High,Priority
1862,Sales,Sales Executive,9907,2,Yes,2,0.9662895610067999,96.63,High,Normal
167,Sales,Sales Representative,1675,0,Yes,3,0.9655021463023556,96.55,High,Normal
959,Sales,Sales Representative,2121,1,Yes,2,0.9652298268440316,96.52,High,Normal
1624,Sales,Sales Representative,1569,0,Yes,4,0.961163466240088,96.12,High,Normal
1279,Research & Development,Laboratory Technician,2625,2,No,3,0.9601948896109579,96.02,High,Normal
590,Human Resources,Human Resources,9950,3,Yes,1,0.9581398279052309,95.81,High,Priority
1439,Sales,Sales Representative,4400,3,No,1,0.9578858203024447,95.79,High,Priority
1318,Sales,Sales Executive,9094,5,Yes,2,0.9563724599222023,95.64,High,Priority
1167,Sales,Sales Executive,13758,21,Yes,1,0.9512427857592943,95.12,High,Priority
1053,Research & Development,Research Scientist,2042,3,Yes,1,0.9498670647158908,94.99,High,Priority
235,Sales,Sales Representative,2325,0,No,1,0.9493517124756004,94.94,High,Normal
1464,Research & Development,Laboratory Technician,3722,2,Yes,4,0.9450478312664805,94.5,High,Normal
2021,Sales,Sales Representative,2380,2,Yes,1,0.9449853285392562,94.5,High,Normal
64,Research & Development,Laboratory Technician,5381,1,Yes,3,0.9443302551649004,94.43,High,Priority
1649,Research & Development,Laboratory Technician,2166,4,Yes,1,0.9431089660999954,94.31,High,Priority
55,Research & Development,Laboratory Technician,2293,1,No,3,0.9420916649285321,94.21,High,Normal
1844,Human Resources,Human Resources,2335,2,Yes,1,0.9416591758702625,94.17,High,Normal
960,Research & Development,Laboratory Technician,2973,1,No,1,0.9412595771366389,94.13,High,Normal
175,Sales,Sales Executive,4559,2,Yes,3,0.9403179876955046,94.03,High,Normal
1780,Sales,Sales Representative,2679,1,No,2,0.9383333236822782,93.83,High,Normal
1928,Sales,Sales Representative,1091,1,No,1,0.9381456523505005,93.81,High,Normal
1319,Sales,Sales Executive,8446,8,Yes,2,0.9373086388930717,93.73,High,Priority
299,Sales,Sales Executive,6696,6,No,1,0.9350003488137136,93.5,High,Priority
1331,Sales,Sales Representative,2302,3,Yes,2,0.9342969156503154,93.43,High,Priority
1944,Human Resources,Human Resources,2863,1,No,2,0.933048606447571,93.3,High,Normal
514,Research & Development,Research Scientist,2285,1,Yes,4,0.9321719301836244,93.22,High,Normal
1427,Sales,Sales Representative,1359,1,No,3,0.9317832814657159,93.18,High,Normal
952,Sales,Sales Representative,2413,1,Yes,2,0.9314485778230123,93.14,High,Normal
702,Research & Development,Research Scientist,3348,10,Yes,1,0.9274571398751184,92.75,High,Priority
1077,Sales,Sales Representative,2323,2,Yes,4,0.9263653909793259,92.64,High,Normal
1752,Sales,Sales Representative,2760,2,No,2,0.9261255177112686,92.61,High,Normal
485,Sales,Sales Representative,2851,1,Yes,3,0.9233489670302106,92.33,High,Normal
554,Sales,Sales Representative,3202,5,Yes,2,0.9231541485817122,92.32,High,Priority
720,Sales,Sales Executive,4577,2,No,3,0.9199082122133774,91.99,High,Normal
147,Research & Development,Laboratory Technician,6074,9,Yes,3,0.9193556093835145,91.94,High,Priority
1716,Sales,Sales Executive,12936,23,No,3,0.9176666763022182,91.77,High,Priority
163,Sales,Sales Executive,6172,7,Yes,3,0.9151752991479859,91.52,High,Priority
2023,Sales,Sales Representative,1790,1,No,1,0.914226110030247,91.42,High,Normal
390,Research & Development,Healthcare Representative,4741,5,Yes,1,0.9141594545290231,91.42,High,Priority
816,Research & Development,Laboratory Technician,2319,1,Yes,1,0.9095609151535285,90.96,High,Normal
65,Research & Development,Laboratory Technician,3441,2,Yes,3,0.9094181406583158,90.94,High,Normal
1645,Sales,Sales Executive,5440,2,Yes,4,0.9074444903287948,90.74,High,Normal
1157,Sales,Sales Executive,8224,5,Yes,1,0.9049533918367219,90.5,High,Priority
832,Research & Development,Laboratory Technician,5094,1,No,3,0.9046036069023066,90.46,High,Normal
1868,Research & Development,Research Scientist,2439,1,Yes,4,0.9044487757241345,90.44,High,Normal
33,Research & Development,Research Scientist,3919,10,Yes,1,0.9038191029474748,90.38,High,Priority
1019,Research & Development,Laboratory Technician,2451,4,No,1,0.9026731038697072,90.27,High,Priority
970,Sales,Sales Executive,10609,14,No,3,0.9022468484824729,90.22,High,Priority
1198,Research & Development,Laboratory Technician,3033,2,No,3,0.9008691490531001,90.09,High,Normal
1611,Research & Development,Laboratory Technician,5769,10,Yes,1,0.9002336105831685,90.02,High,Priority
1420,Research & Development,Laboratory Technician,4284,4,No,1,0.896615098878455,89.66,High,Priority
932,Research & Development,Laboratory Technician,2404,2,Yes,1,0.8965031086141938,89.65,High,Normal
1,Sales,Sales Executive,5993,6,Yes,4,0.8962335195984127,89.62,High,Priority
1037,Sales,Sales Executive,4969,2,No,1,0.8960825478956967,89.61,High,Normal
1767,Research & Development,Research Scientist,2437,1,Yes,3,0.8952749603110463,89.53,High,Normal
648,Sales,Sales Representative,2033,1,No,1,0.8925811619808993,89.26,High,Normal
72,Sales,Sales Executive,4157,2,Yes,4,0.8904731427523684,89.05,High,Normal
261,Research & Development,Manufacturing Director,5916,1,Yes,3,0.890189299581529,89.02,High,Normal
142,Sales,Sales Executive,5744,6,Yes,3,0.889071359773603,88.91,High,Priority
1004,Research & Development,Research Scientist,2132,5,Yes,3,0.8873994485565228,88.74,High,Priority
2010,Research & Development,Laboratory Technician,2837,6,No,2,0.8856125219050002,88.56,High,Priority
47,Sales,Sales Representative,2683,3,Yes,3,0.8843573750516713,88.44,High,Priority
1569,Research & Development,Laboratory Technician,2074,1,Yes,1,0.8838376455144022,88.38,High,Normal
248,Sales,Sales Representative,3140,4,Yes,2,0.8834443459570701,88.34,High,Priority
401,Sales,Sales Executive,5828,8,Yes,4,0.8818692001981975,88.19,High,Priority
1188,Sales,Sales Executive,5346,4,No,3,0.8812860036763029,88.13,High,Priority
819,Sales,Sales Executive,5324,3,No,1,0.8812235514027836,88.12,High,Priority
1533,Research & Development,Laboratory Technician,2272,4,No,3,0.8799952384374954,88.0,High,Priority
1286,Research & Development,Laboratory Technician,2154,4,Yes,3,0.8799691007671401,88.0,High,Priority
1684,Research & Development,Laboratory Technician,3989,5,Yes,3,0.8798796053476806,87.99,High,Priority
137,Research & Development,Laboratory Technician,2926,1,Yes,4,0.8795842640327466,87.96,High,Normal
